,rating,title,timestamp,preprocessed_review,sentiment,label
25791,5,Love This Bar Soap,2018-04-24 19:29:03.619,love bar soap love zum bar soapbr arrive quickly perfect conditionbr little pricey think worth itbr buy amazon save couple buck bar free shippingbr highly recommend,1.0,1
48149,5,Love these,2018-09-04 19:44:57.483,love second time purchase   yes rough skin leave soft,1.0,1
324086,1,One Star,2016-01-01 14:25:33.000,star hard use,-1.0,0
556699,5,Terrific compact hair straightener.,2021-04-16 09:37:17.725,terrific compact hair straightener great little unit terrific job easy pack travel definitely recommend person,1.0,1
669686,5,Nice all in one trimmer,2010-01-24 14:11:06.000,nice trimmer trimmer year find t good cost portability brand consist clip guard single guard slide proper length case lock correctly give uneven cutbr t dial cut length lock place vacuum nice touch not clipping   make easy travel cordless need guard misplace forgetbr minor issue cut level not easy read little window   know number,1.0,1
59379,5,Nice,2019-02-14 13:45:22.280,nice buy gift,1.0,1
15006,5,Five Stars,2017-01-09 17:06:30.000,star work pretty price,1.0,1
93250,5,Five Stars,2016-02-20 18:42:50.000,star absolutely love,1.0,1
392583,3,cool,2015-12-24 14:13:10.000,cool wish get long rod work,0.0,0
455767,5,Bomb,2019-11-03 18:42:43.082,bomb love emput thursday alreadyppl love lookwill rebuy,1.0,1
569189,5,Best CB Radio,2021-04-11 19:52:13.082,good cb radio notch radio expect ranger clean sound awesome modulation peak tune   watt easy highly recommend radio ve cb year shelf m otr   road   driver,1.0,1
572703,5,Great product,2023-05-08 19:13:18.805,great product trail bike ride daily   comb pocket multitool   not scratch   ve break lot unbreakable comb     add   worth money   static,1.0,1
256111,5,Great for sensitive mouths!,2021-03-29 15:37:33.891,great sensitive mouth clean great not hurt gum order stock kid love,1.0,1
475949,1,Nooooo,2021-07-17 17:19:33.735,nooooo poor quality,-1.0,0
563506,4,Long dryers,2021-11-08 19:54:21.017,long dryer love work great downside fall dryer dryer short end instead long end not recommend short end blow dryer,0.5,1
15163,5,Great find,2018-11-22 19:42:02.784,great find love purchase wish order soonerbefore purchase store hair dryer,1.0,1
39891,5,Great for little bath lovers,2020-01-20 21:31:35.767,great little bath lover   year old neice enjoy colorful nice smell cute tiny surprise,1.0,1
250621,5,Good for the price,2020-04-25 21:23:32.278,good price thin material plastic cloth feel,1.0,1
80424,5,Perfect size for cleaning solution,2021-03-21 07:27:22.116,perfect size cleaning solution bottle wonderful nice smooth fit perfectly hand great size heavy hold bottle easy clean nozzle disappointing especially order online pleased nozzle spray nicely   spray nice evenly cleaning solution brown bottle essential oil fresh potent happy use   house,1.0,1
199760,5,Great value!,2021-11-07 21:42:02.286,great value great value price get free set false eyelash include ve get compliment hair wear look real love color definitely want purchase color,1.0,1
659471,5,price,2021-02-09 22:13:01.668,price price,1.0,1
413329,1,Horrible,2019-06-25 02:51:38.902,horrible horrible scent useful,-1.0,0
226663,4,Very Thin,2021-02-08 04:46:52.636,thin not imagine effective perfect short exposure drive window,0.5,1
433591,5,Long lasting & beautiful!,2021-02-22 21:46:54.720,long last   beautiful love nail polish clean last long brand previously light grey fun neutral love,1.0,1
626117,1,Shadow EVERYwhere!,2022-03-01 22:29:16.027,shadow shadow arrive break not use want order,-1.0,0
244795,1,You get what you pay for.,2022-02-15 07:27:20.144,pay product worth chewed piece gum street,-1.0,0
657520,5,Love this bit,2020-05-01 03:22:14.751,love bit cut time remove bulk length   gel polish half order extra course volcano bit previously finemedium square diamond carbide bit brand,1.0,1
698336,5,Great brushes and molds,2020-09-12 03:39:30.297,great brush mold quality well imagine clever design equip small brush different brush head convenient unique nail addition brush quality mold good small easy operate kind line crazy fan french manicure think little thing help stay beautiful periodrecommendthat,1.0,1
